voter_id,district_id,is_eligible
627299,8,true
332726,8,true
399983,3,true
523275,6,false
960871,10,true
256532,10,false
307737,6,false
406680,9,false
400353,5,false
363449,8,false
337154,9,true
111245,10,false
813849,3,true
786102,7,false
505959,3,false
176921,1,true
603750,4,true
642854,10,true
858442,8,false
875888,4,false
898387,2,false
882498,7,false
643978,5,true
44159,8,false
430647,9,false
767739,10,true
699872,3,false
147686,7,false
426069,9,true
905634,10,true
320749,3,false
788944,3,false
728643,2,true
811929,5,true
363126,4,true
859972,5,false
880102,1,true
184786,4,true
670097,6,false
256081,1,false
878653,7,true
181635,3,true
370312,10,true
604708,9,true
289478,3,true
783913,3,false
483162,2,false
783311,5,true
997159,3,true
467741,4,true
785813,2,true
136454,9,true
374542,2,true
301159,1,false
798241,2,false
988817,4,false
477416,5,false
623352,5,true
243637,1,true
550499,2,false
346341,6,true
401316,8,true
841429,3,false
848609,2,false
335809,8,true
742456,2,true
998169,8,true
787694,4,true
552717,7,true
671630,3,false
446978,3,true
219133,3,true
428343,2,false
271532,9,true
398245,6,false
667697,7,false
337969,10,false
194899,5,true
896719,6,true
143983,3,false
255222,8,true
287127,8,false
173973,1,false
359687,7,true
859383,9,true
634954,4,true
436160,3,false
794533,3,false
586154,7,false
709591,1,false
842706,10,true
547384,10,true
395052,3,false
211123,3,true
901559,6,false
713246,10,false
914009,7,true
123564,1,true
328102,5,false
801624,8,false
737282,10,false
185334,4,true
910329,10,true
133181,5,false
421028,8,false
804666,1,true
992394,1,false
788279,4,false
544032,9,true
800692,8,false
212197,10,false
811671,7,false
650827,9,false
460094,6,false
254212,4,true
639633,10,false
288469,4,true
966736,6,false
154675,4,false
265603,2,false
521481,1,true
670502,7,true
215889,3,true
148061,6,true
542498,5,false
550179,8,false
862842,10,true
829248,3,false
655353,2,true
377557,8,false
577969,2,true
815580,6,true
433510,3,true
703492,3,true
556409,4,true
110518,10,false
712658,7,false
979528,10,true
624276,2,false
379691,8,true
388642,4,false
757729,1,true
856413,7,false
541903,6,true
871568,6,false
610717,2,true
854707,7,false
135237,5,false
192797,10,false
664173,6,true
495440,1,true
783868,4,true
786920,8,true
202895,8,false
137739,1,false
967618,8,false
372855,6,true
709404,9,true
346873,9,true
653408,8,true
363614,6,true
477421,8,false
312347,5,false
750576,6,false
639982,10,false
618750,6,true
796129,2,true
941715,5,false
640584,8,false
615226,6,true
162731,1,true
561135,2,false
182109,9,true
728120,3,true
245107,2,true
540290,10,false
793435,4,true
413828,5,true
929324,1,true
481035,9,false
783400,5,false
